,_id,iterationName,phase,finalCount,GID,workerID,assignmentID,hitID,prolificID,studyID,sessionID,score,totalScore,trial,sectionTrial,num,base,targ,resp,correct,take,distractions,trialStartTime,takeStartTime,trialTime,takeTime,RT,WT,initTime,endTime,gender,age,comments,understood,totalLength,strategy,strategy_other,expt,cond,targetWord,targetNum,responseSide,responseNumber,responseWord,otherNumber,otherWord,missed,syntax,count,duplicate,failedGame,nonsenseGame,failedOutlier,distracted,distractedGame,manualExclude,incomplete,generalized,prim,add,mult,exp,feature_sum,maxrule,lexicon,gloss,targ_gloss,numSyls,err,strat,add_err,mul_err,sf,sf_acc,sf_strat,strat_acc,strategy_acc,exact_match
27834,61e051ecaa09f84b60e4b393,run1,generalization,,3,,,,3,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$1.9,190.0,,,11.0,4.0,ki-se-tu,kisetu,True,,"{'1642090897778': 'blurred', '1642090899035': 'focused', '1642090906275': 'blurred', '1642090909887': 'focused', '1642090909888': 'focused'}",1642090848232.0,,,,15.408,,1642090628729.0,1642090987727.0,,,,,,mul,,1,nan,,,,,,,,,True,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'na': 1.0, 'ki': 2.0, 'tu': 3.0, 'se': 4.0}",2-4-3,2-4-3,3,0.0,mul,2.0,0.0,False,0.0,add,mul,mul,True
27835,61e051ecaa09f84b60e4b393,run1,generalization,,3,,,,3,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$1.9,190.0,,,12.0,4.0,tu-se,tuna,False,,"{'1642090897778': 'blurred', '1642090899035': 'focused', '1642090906275': 'blurred', '1642090909887': 'focused', '1642090909888': 'focused'}",1642090848232.0,,,,7.624,,1642090628729.0,1642090987727.0,,,,,,mul,,1,nan,,,,,,,,,True,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'na': 1.0, 'ki': 2.0, 'tu': 3.0, 'se': 4.0}",3-1,3-4,2,8.0,mul,8.0,8.0,False,inf,idk,bad,bad,False
27836,61e051ecaa09f84b60e4b393,run1,generalization,,3,,,,3,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$1.9,190.0,,,13.0,4.0,tu-se-na,tunaki,True,,"{'1642090897778': 'blurred', '1642090899035': 'focused', '1642090906275': 'blurred', '1642090909887': 'focused', '1642090909888': 'focused'}",1642090848232.0,,,,9.266,,1642090628729.0,1642090987727.0,,,,,,mul_sf,,1,nan,,,,,,,,,True,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'na': 1.0, 'ki': 2.0, 'tu': 3.0, 'se': 4.0}",3-1-2,3-4-1,3,0.0,mul,7.0,8.0,True,0.0,mul,mul,mul_sf,False
27837,61e051ecaa09f84b60e4b393,run1,generalization,,3,,,,3,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$1.9,190.0,,,14.0,4.0,tu-se-ki,tunatu,True,,"{'1642090897778': 'blurred', '1642090899035': 'focused', '1642090906275': 'blurred', '1642090909887': 'focused', '1642090909888': 'focused'}",1642090848232.0,,,,6.112,,1642090628729.0,1642090987727.0,,,,,,add_sf,,1,nan,,,,,,,,,True,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'na': 1.0, 'ki': 2.0, 'tu': 3.0, 'se': 4.0}",3-1-3,3-4-2,3,0.0,add,7.0,8.0,True,0.0,add,add,add_sf,False
27838,61e051ecaa09f84b60e4b393,run1,generalization,,3,,,,3,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$1.9,190.0,,,15.0,4.0,tu-se-tu,tunase,True,,"{'1642090897778': 'blurred', '1642090899035': 'focused', '1642090906275': 'blurred', '1642090909887': 'focused', '1642090909888': 'focused'}",1642090848232.0,,,,22.296,,1642090628729.0,1642090987727.0,,,,,,add_sf,,1,nan,,,,,,,,,True,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'na': 1.0, 'ki': 2.0, 'tu': 3.0, 'se': 4.0}",3-1-4,3-4-3,3,0.0,add,7.0,8.0,True,0.0,add,add,add_sf,False
27849,61e0520faa09f84b60e4b3fd,run1,generalization,,2,,,,2,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$1.94,194.0,,,11.0,5.0,nu-ka-ti,hekati,False,,"{'1642090876212': 'blurred', '1642090877514': 'focused', '1642090877815': 'blurred', '1642090878360': 'focused', '1642090878374': 'blurred', '1642090879379': 'focused', '1642090879491': 'blurred', '1642090881305': 'focused'}",1642090869147.0,,,,,,1642090619434.0,1642091023910.0,,,,,,add,,1,nan,,,,,,,,,True,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'ti': 1.0, 'nu': 2.0, 'he': 3.0, 'so': 4.0, 'ka': 5.0}",3-5-1,2-5-1,3,2.0,add,2.0,5.0,False,inf,idk,bad,bad,False
27850,61e0520faa09f84b60e4b3fd,run1,generalization,,2,,,,2,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$1.94,194.0,,,12.0,5.0,nu-ka-nu,nukati,False,,"{'1642090876212': 'blurred', '1642090877514': 'focused', '1642090877815': 'blurred', '1642090878360': 'focused', '1642090878374': 'blurred', '1642090879379': 'focused', '1642090879491': 'blurred', '1642090881305': 'focused'}",1642090869147.0,,,,3.81,,1642090619434.0,1642091023910.0,,,,,,mul,,1,nan,,,,,,,,,True,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'ti': 1.0, 'nu': 2.0, 'he': 3.0, 'so': 4.0, 'ka': 5.0}",2-5-1,2-5-2,3,1.0,mul,4.0,1.0,False,inf,idk,bad,bad,False
27851,61e0520faa09f84b60e4b3fd,run1,generalization,,2,,,,2,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$1.94,194.0,,,13.0,5.0,nu-ka-he,hj,False,,"{'1642090876212': 'blurred', '1642090877514': 'focused', '1642090877815': 'blurred', '1642090878360': 'focused', '1642090878374': 'blurred', '1642090879379': 'focused', '1642090879491': 'blurred', '1642090881305': 'focused'}",1642090869147.0,,,,8.917,,1642090619434.0,1642091023910.0,,,,,,mul,,1,nan,,,,,,,,,True,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'ti': 1.0, 'nu': 2.0, 'he': 3.0, 'so': 4.0, 'ka': 5.0}",hj,2-5-3,3,13.0,mul,13.0,13.0,False,inf,idk,bad,bad,False
27852,61e0520faa09f84b60e4b3fd,run1,generalization,,2,,,,2,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$1.94,194.0,,,14.0,5.0,nu-ka-so,nukanu,False,,"{'1642090876212': 'blurred', '1642090877514': 'focused', '1642090877815': 'blurred', '1642090878360': 'focused', '1642090878374': 'blurred', '1642090879379': 'focused', '1642090879491': 'blurred', '1642090881305': 'focused'}",1642090869147.0,,,,4.646,,1642090619434.0,1642091023910.0,,,,,,mul,,1,nan,,,,,,,,,True,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'ti': 1.0, 'nu': 2.0, 'he': 3.0, 'so': 4.0, 'ka': 5.0}",2-5-2,2-5-4,3,2.0,mul,5.0,2.0,False,inf,idk,bad,bad,False
27853,61e0520faa09f84b60e4b3fd,run1,generalization,,2,,,,2,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$1.94,194.0,,,15.0,5.0,he-ka,heka,True,,"{'1642090876212': 'blurred', '1642090877514': 'focused', '1642090877815': 'blurred', '1642090878360': 'focused', '1642090878374': 'blurred', '1642090879379': 'focused', '1642090879491': 'blurred', '1642090881305': 'focused'}",1642090869147.0,,,,7.743,,1642090619434.0,1642091023910.0,,,,,,mul,,1,nan,,,,,,,,,True,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'ti': 1.0, 'nu': 2.0, 'he': 3.0, 'so': 4.0, 'ka': 5.0}",3-5,3-5,2,0.0,mul,7.0,0.0,False,inf,idk,mul,mul,True
27864,61e0525baa09f84b60e4b4cc,run1,generalization,,5,,,,5,61df8999cc7c1c6984f5f11d,61e0503a92a79e2ccaa7c81c,$1.93,193.0,,,11.0,5.0,to-ku-ne,nene,False,,"{'1642091059832': 'blurred', '1642091062423': 'focused'}",1642091021915.0,,,,11.23,,1642090626149.0,1642091098235.0,,,,,,add,,1,nan,,,,,,,,,True,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'ne': 1.0, 'to': 2.0, 'ha': 3.0, 'si': 4.0, 'ku': 5.0}",1-1,2-5-1,3,9.0,add,9.0,9.0,False,inf,idk,bad,bad,False
