,_id,iterationName,phase,finalCount,GID,workerID,assignmentID,hitID,prolificID,studyID,sessionID,score,totalScore,trial,sectionTrial,num,base,targ,resp,correct,take,distractions,trialStartTime,takeStartTime,trialTime,takeTime,RT,WT,initTime,endTime,gender,age,comments,understood,totalLength,strategy,strategy_other,expt,cond,targetWord,targetNum,responseSide,responseNumber,responseWord,otherNumber,otherWord,missed,syntax,count,duplicate,failedGame,nonsenseGame,failedOutlier,distracted,distractedGame,manualExclude,incomplete,generalized,prim,add,mult,exp,feature_sum,maxrule,lexicon,gloss,targ_gloss,numSyls,err,strat,add_err,mul_err,sf,sf_acc,sf_strat,strat_acc,strategy_acc,exact_match
31840,63cda92458c4334a66b06e22,run1,generalization,,248,,,,248,63cc988c2a276a3b63c222e6,63cda6ed70d34e17f319fd1d,$1.86,1.86,,,12.0,5.0,ko-ne-ko,koha,True,,"{'1674422437355': 'blurred', '1674422443035': 'focused', '1674422443036': 'focused', '1674422447542': 'blurred', '1674422450530': 'focused'}",1674422431805.0,,,,12.33,,1674422137688.0,1674422561927.0,,,,,,mul_sf,,2,no_syntax,,,,,,,,,False,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'ko': 1.0, 'ha': 2.0, 'ne': 3.0, 'ne-ko': 4.0, 'tu': 5.0, 'ne-ha': 6.0, 'ne-si': 7.0, 'si': 8.0, 'ne-tu': 9.0, 'ko-ne': 10.0}",1-2,1-3-1,3,0.0,mul,9.0,10.0,True,0.0,mul,mul,mul_sf,False
31841,63cda92458c4334a66b06e22,run1,generalization,,248,,,,248,63cc988c2a276a3b63c222e6,63cda6ed70d34e17f319fd1d,$1.86,1.86,,,13.0,5.0,ko-ne-si,kone,False,,"{'1674422437355': 'blurred', '1674422443035': 'focused', '1674422443036': 'focused', '1674422447542': 'blurred', '1674422450530': 'focused'}",1674422431805.0,,,,1.202,4.347,1674422137688.0,1674422561927.0,,,,,,mul,,2,no_syntax,,,,,,,,,False,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'ko': 1.0, 'ha': 2.0, 'ne': 3.0, 'ne-ko': 4.0, 'tu': 5.0, 'ne-ha': 6.0, 'ne-si': 7.0, 'si': 8.0, 'ne-tu': 9.0, 'ko-ne': 10.0}",10,1-3-8,3,3.0,mul,3.0,3.0,False,inf,idk,bad,bad,False
31842,63cda92458c4334a66b06e22,run1,generalization,,248,,,,248,63cc988c2a276a3b63c222e6,63cda6ed70d34e17f319fd1d,$1.86,1.86,,,14.0,5.0,ko-ne-tu,koneko,True,,"{'1674422437355': 'blurred', '1674422443035': 'focused', '1674422443036': 'focused', '1674422447542': 'blurred', '1674422450530': 'focused'}",1674422431805.0,,,,0.472,5.399,1674422137688.0,1674422561927.0,,,,,,add_sf,,2,no_syntax,,,,,,,,,False,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'ko': 1.0, 'ha': 2.0, 'ne': 3.0, 'ne-ko': 4.0, 'tu': 5.0, 'ne-ha': 6.0, 'ne-si': 7.0, 'si': 8.0, 'ne-tu': 9.0, 'ko-ne': 10.0}",10-1,1-3-5,3,0.0,add,3.0,3.0,True,0.0,add,add,add_sf,False
31843,63cda92458c4334a66b06e22,run1,generalization,,248,,,,248,63cc988c2a276a3b63c222e6,63cda6ed70d34e17f319fd1d,$1.86,1.86,,,15.0,5.0,si-ne,kotu,False,,"{'1674422437355': 'blurred', '1674422443035': 'focused', '1674422443036': 'focused', '1674422447542': 'blurred', '1674422450530': 'focused'}",1674422431805.0,,,,1.282,2.005,1674422137688.0,1674422561927.0,,,,,,add,,2,no_syntax,,,,,,,,,False,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'ko': 1.0, 'ha': 2.0, 'ne': 3.0, 'ne-ko': 4.0, 'tu': 5.0, 'ne-ha': 6.0, 'ne-si': 7.0, 'si': 8.0, 'ne-tu': 9.0, 'ko-ne': 10.0}",1-5,8-3,2,9.0,add,9.0,10.0,False,inf,idk,bad,bad,False
31844,63cda92458c4334a66b06e22,run1,generalization,,248,,,,248,63cc988c2a276a3b63c222e6,63cda6ed70d34e17f319fd1d,$1.86,1.86,,,16.0,5.0,si-ne-ha,koneha,False,,"{'1674422437355': 'blurred', '1674422443035': 'focused', '1674422443036': 'focused', '1674422447542': 'blurred', '1674422450530': 'focused'}",1674422431805.0,,,,0.752,3.027,1674422137688.0,1674422561927.0,,,,,,mul,,2,no_syntax,,,,,,,,,False,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'ko': 1.0, 'ha': 2.0, 'ne': 3.0, 'ne-ko': 4.0, 'tu': 5.0, 'ne-ha': 6.0, 'ne-si': 7.0, 'si': 8.0, 'ne-tu': 9.0, 'ko-ne': 10.0}",10-2,8-3-2,3,4.0,mul,4.0,4.0,False,inf,idk,bad,bad,False
31845,63cda92458c4334a66b06e22,run1,generalization,,248,,,,248,63cc988c2a276a3b63c222e6,63cda6ed70d34e17f319fd1d,$1.86,1.86,,,17.0,5.0,si-ne-ko,konesi,False,,"{'1674422437355': 'blurred', '1674422443035': 'focused', '1674422443036': 'focused', '1674422447542': 'blurred', '1674422450530': 'focused'}",1674422431805.0,,,,1.012,3.863,1674422137688.0,1674422561927.0,,,,,,mul,,2,no_syntax,,,,,,,,,False,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'ko': 1.0, 'ha': 2.0, 'ne': 3.0, 'ne-ko': 4.0, 'tu': 5.0, 'ne-ha': 6.0, 'ne-si': 7.0, 'si': 8.0, 'ne-tu': 9.0, 'ko-ne': 10.0}",10-8,8-3-1,3,1.0,mul,1.0,1.0,False,inf,idk,bad,bad,False
31846,63cda92458c4334a66b06e22,run1,generalization,,248,,,,248,63cc988c2a276a3b63c222e6,63cda6ed70d34e17f319fd1d,$1.86,1.86,,,18.0,5.0,si-ne-si,kosi,False,,"{'1674422437355': 'blurred', '1674422443035': 'focused', '1674422443036': 'focused', '1674422447542': 'blurred', '1674422450530': 'focused'}",1674422431805.0,,,,1.821,1.508,1674422137688.0,1674422561927.0,,,,,,add,,2,no_syntax,,,,,,,,,False,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'ko': 1.0, 'ha': 2.0, 'ne': 3.0, 'ne-ko': 4.0, 'tu': 5.0, 'ne-ha': 6.0, 'ne-si': 7.0, 'si': 8.0, 'ne-tu': 9.0, 'ko-ne': 10.0}",1-8,8-3-8,3,9.0,add,9.0,10.0,False,inf,idk,bad,bad,False
31847,63cda92458c4334a66b06e22,run1,generalization,,248,,,,248,63cc988c2a276a3b63c222e6,63cda6ed70d34e17f319fd1d,$1.86,1.86,,,19.0,5.0,si-ne-tu,konetu,False,,"{'1674422437355': 'blurred', '1674422443035': 'focused', '1674422443036': 'focused', '1674422447542': 'blurred', '1674422450530': 'focused'}",1674422431805.0,,,,1.031,2.37,1674422137688.0,1674422561927.0,,,,,,mul,,2,no_syntax,,,,,,,,,False,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'ko': 1.0, 'ha': 2.0, 'ne': 3.0, 'ne-ko': 4.0, 'tu': 5.0, 'ne-ha': 6.0, 'ne-si': 7.0, 'si': 8.0, 'ne-tu': 9.0, 'ko-ne': 10.0}",1-3-5,8-3-5,3,3.0,mul,10.0,3.0,False,inf,idk,bad,bad,False
31848,63cda92458c4334a66b06e22,run1,generalization,,248,,,,248,63cc988c2a276a3b63c222e6,63cda6ed70d34e17f319fd1d,$1.86,1.86,,,20.0,5.0,tu-ne,kokone,False,,"{'1674422437355': 'blurred', '1674422443035': 'focused', '1674422443036': 'focused', '1674422447542': 'blurred', '1674422450530': 'focused'}",1674422431805.0,,,,0.787,7.281,1674422137688.0,1674422561927.0,,,,,,add,,2,no_syntax,,,,,,,,,False,True,False,False,False,False,True,False,False,False,True,,,,,,1,"{'ko': 1.0, 'ha': 2.0, 'ne': 3.0, 'ne-ko': 4.0, 'tu': 5.0, 'ne-ha': 6.0, 'ne-si': 7.0, 'si': 8.0, 'ne-tu': 9.0, 'ko-ne': 10.0}",1-10,5-3,2,9.0,add,9.0,10.0,False,inf,idk,bad,bad,False
31859,63cda93158c4334a66b06e3a,run1,generalization,,227,,,,227,63cc988c2a276a3b63c222e6,63cda432f338dc3127c71c51,$1.97,1.97,,,11.0,5.0,so-ne-ha,so-ne-ha,True,,"{'1674422321980': 'blurred', '1674422324951': 'focused', '1674422402548': 'blurred', '1674422409577': 'focused'}",1674422261886.0,,,,2.749,8.866,1674421432534.0,1674422576511.0,,,,,,mul,,2,no_count,,,,,,,,,True,False,False,False,False,False,True,False,False,False,True,,,,,,1,"{'ne': 5.0, 'ti': 3.0, 'ku': 4.0, 'ha': 1.0, 'so': 2.0}",2-5-1,2-5-1,3,0.0,mul,3.0,0.0,False,0.0,add,mul,mul,True
