,_id,iterationName,phase,finalCount,GID,workerID,assignmentID,hitID,prolificID,studyID,sessionID,score,totalScore,trial,sectionTrial,num,base,targ,resp,correct,take,distractions,trialStartTime,takeStartTime,trialTime,takeTime,RT,WT,initTime,endTime,gender,age,comments,understood,totalLength,strategy,strategy_other,expt,cond,targetWord,targetNum,responseSide,responseNumber,responseWord,otherNumber,otherWord,missed,syntax,count,duplicate,failedGame,nonsenseGame,failedOutlier,distracted,distractedGame,manualExclude,incomplete,generalized,prim,add,mult,exp,feature_sum,maxrule,lexicon,gloss,targ_gloss,numSyls,normedWT,CT,freq
15245,63cd838058c4334a66b04496,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.45,0.45,15.0,0.0,1.0,5.0,ko,ko,1.0,0.0,{},1674412926592.0,1674412926592.0,1839.0,1839.0,1.252,0.587,1674412829191.0,1674412928431.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",1,1,1.0,0.2935,1.5455,3
15246,63cd838258c4334a66b04497,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.48,0.48,16.0,1.0,2.0,5.0,na,na,1.0,0.0,{},1674412929439.0,1674412929439.0,970.0,970.0,0.333,0.637,1674412829191.0,1674412930409.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",2,2,1.0,0.3185,0.6515,3
15247,63cd838458c4334a66b04498,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.51,0.51,17.0,2.0,3.0,5.0,te,te,1.0,0.0,{},1674412931416.0,1674412931416.0,833.0,833.0,0.331,0.502,1674412829191.0,1674412932249.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",3,3,1.0,0.251,0.5820000000000001,2
15248,63cd838658c4334a66b04499,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.54,0.54,18.0,3.0,4.0,5.0,si,si,1.0,0.0,{},1674412933256.0,1674412933256.0,1104.0,1104.0,0.309,0.795,1674412829191.0,1674412934360.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",4,4,1.0,0.3975,0.7065,1
15249,63cd838758c4334a66b0449b,run1,quiz,False,194.0,,,,194.0,63cc988c2a276a3b63c222e6,63cd82c14591a1ba4aae1fd5,$0.21,0.21,9.0,1.0,4.0,5.0,te,hi,0.0,0.0,{},1674412926961.0,1674412926961.0,8461.0,8461.0,7.644,0.817,1674412833937.0,1674412935422.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'te': 4.0, 'na': 1.0, 'ki': 5.0, 'hu': 2.0, 'so': 3.0}",hi,4,1.0,0.4085,8.0525,0
15250,63cd838858c4334a66b0449c,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.57,0.57,19.0,4.0,5.0,5.0,hu,hu,1.0,0.0,{},1674412935382.0,1674412935382.0,1553.0,1553.0,0.299,1.254,1674412829191.0,1674412936935.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",5,5,1.0,0.627,0.9259999999999999,0
15252,63cd838d58c4334a66b0449f,run1,quiz,False,194.0,,,,194.0,63cc988c2a276a3b63c222e6,63cd82c14591a1ba4aae1fd5,$0.26,0.26,10.0,2.0,4.0,5.0,te,te,1.0,0.0,{},1674412939779.0,1674412939779.0,1621.0,1621.0,1.074,0.547,1674412833937.0,1674412941400.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'te': 4.0, 'na': 1.0, 'ki': 5.0, 'hu': 2.0, 'so': 3.0}",4,4,1.0,0.2735,1.3475000000000001,1
15259,63cd839958c4334a66b044a9,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.63,0.63,21.0,0.0,1.0,5.0,ko,ko,1.0,0.0,{},1674412952761.0,1674412952761.0,1382.0,1382.0,0.657,0.725,1674412829191.0,1674412954143.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",1,1,1.0,0.3625,1.0195,4
15261,63cd839b58c4334a66b044ab,run1,quiz,False,194.0,,,,194.0,63cc988c2a276a3b63c222e6,63cd82c14591a1ba4aae1fd5,$0.29,0.29,12.0,0.0,5.0,5.0,ki,teko,0.0,0.0,{},1674412951052.0,1674412951052.0,4091.0,4091.0,2.815,1.276,1674412833937.0,1674412955143.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'te': 4.0, 'na': 1.0, 'ki': 5.0, 'hu': 2.0, 'so': 3.0}",4-ko,5,1.0,0.319,3.134,1
15262,63cd839b58c4334a66b044ad,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.66,0.66,22.0,1.0,2.0,5.0,na,na,1.0,0.0,{},1674412955152.0,1674412955152.0,873.0,873.0,0.315,0.558,1674412829191.0,1674412956025.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",2,2,1.0,0.279,0.5940000000000001,4
