,Unnamed: 0,_id,iterationName,phase,finalCount,GID,workerID,assignmentID,hitID,prolificID,studyID,sessionID,score,totalScore,trial,sectionTrial,num,base,targ,resp,correct,take,distractions,trialStartTime,takeStartTime,trialTime,takeTime,RT,WT,initTime,endTime,gender,age,comments,understood,totalLength,strategy,strategy_other,expt,cond,targetWord,targetNum,responseSide,responseNumber,responseWord,otherNumber,otherWord,missed,syntax,count,duplicate,failedGame,nonsenseGame,failedOutlier,distracted,distractedGame,manualExclude,incomplete,generalized,prim,add,mult,exp,feature_sum,maxrule,lexicon,gloss,targ_gloss,numSyls,normedWT,CT,freq,elapsedTime,delay,addcount,multcount,rulecount,ppd,dpp
168,214,61e05133aa09f84b60e4b18c,run1,quiz,False,3.0,,,,3.0,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$1.54,154.0,52.0,8.0,8.0,4.0,ki-se,kise,1.0,0.0,{},1642090801371.0,1642090801371.0,1053.0,1053.0,0.445,0.608,1642090628729.0,1642090802424.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,0.0,1.0,0.0,1.0,3.0,"{'na': 1.0, 'ki': 2.0, 'tu': 3.0, 'se': 4.0}",2-4,2-4,2.0,0.152,0.597,2,173695.0,9.0,16.0,16.0,16.0,0.2222222222222222,3.0
196,248,61e0514aaa09f84b60e4b1c9,run1,quiz,False,2.0,,,,2.0,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$1.52,152.0,51.0,7.0,7.0,5.0,ka-nu,kanu,1.0,0.0,{},1642090823940.0,1642090823940.0,2932.0,2932.0,1.907,1.025,1642090619434.0,1642090826872.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ti': 1.0, 'nu': 2.0, 'he': 3.0, 'so': 4.0, 'ka': 5.0}",5-2,5-2,2.0,0.25625,2.16325,3,207438.0,9.0,12.0,12.0,12.0,0.3333333333333333,2.25
197,250,61e0514daa09f84b60e4b1d0,run1,quiz,True,3.0,,,,3.0,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$1.78,178.0,60.0,6.0,6.0,4.0,se-ki,seki,1.0,0.0,{},1642090824115.0,1642090824115.0,3886.0,3886.0,1.253,2.633,1642090628729.0,1642090828001.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'na': 1.0, 'ki': 2.0, 'tu': 3.0, 'se': 4.0}",4-2,4-2,2.0,0.65825,1.91125,5,199272.0,10.0,20.0,20.0,20.0,0.5,1.6666666666666667
208,261,61e05152aa09f84b60e4b1e5,run1,quiz,True,3.0,,,,3.0,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$1.84,184.0,62.0,8.0,8.0,4.0,ki-se,kise,1.0,0.0,{},1642090831261.0,1642090831261.0,2276.0,2276.0,1.147,1.129,1642090628729.0,1642090833537.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,0.0,1.0,0.0,1.0,3.0,"{'na': 1.0, 'ki': 2.0, 'tu': 3.0, 'se': 4.0}",2-4,2-4,2.0,0.28225,1.42925,3,204808.0,10.0,21.0,21.0,21.0,0.3,2.5
216,272,61e0515aaa09f84b60e4b1f7,run1,quiz,False,2.0,,,,2.0,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$1.61,161.0,54.0,0.0,10.0,5.0,nu-ka,nuka,1.0,0.0,{},1642090840423.0,1642090840423.0,2459.0,2459.0,1.322,1.137,1642090619434.0,1642090842882.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,0.0,1.0,0.0,1.0,3.0,"{'ti': 1.0, 'nu': 2.0, 'he': 3.0, 'so': 4.0, 'ka': 5.0}",2-5,2-5,2.0,0.28425,1.6062500000000002,0,223448.0,,14.0,14.0,14.0,,
233,295,61e05168aa09f84b60e4b21e,run1,quiz,False,5.0,,,,5.0,61df8999cc7c1c6984f5f11d,61e0503a92a79e2ccaa7c81c,$0.79,79.0,27.0,7.0,7.0,5.0,ku-to,kuto,1.0,0.0,{},1642090851773.0,1642090851773.0,2940.0,2940.0,1.308,1.632,1642090626149.0,1642090854713.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ne': 1.0, 'to': 2.0, 'ha': 3.0, 'si': 4.0, 'ku': 5.0}",5-2,5-2,2.0,0.408,1.716,0,228564.0,,3.0,3.0,3.0,,
239,301,61e0516baa09f84b60e4b228,run1,quiz,True,2.0,,,,2.0,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$1.82,182.0,61.0,7.0,7.0,5.0,ka-nu,kanu,1.0,0.0,{},1642090858443.0,1642090858443.0,1606.0,1606.0,0.672,0.934,1642090619434.0,1642090860049.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ti': 1.0, 'nu': 2.0, 'he': 3.0, 'so': 4.0, 'ka': 5.0}",5-2,5-2,2.0,0.2335,0.9055,4,240615.0,10.0,16.0,16.0,16.0,0.4,2.0
252,316,61e05173aa09f84b60e4b23f,run1,quiz,True,2.0,,,,2.0,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$1.91,191.0,64.0,0.0,10.0,5.0,nu-ka,nuka,1.0,0.0,{},1642090866431.0,1642090866431.0,1690.0,1690.0,0.881,0.809,1642090619434.0,1642090868121.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,0.0,1.0,0.0,1.0,3.0,"{'ti': 1.0, 'nu': 2.0, 'he': 3.0, 'so': 4.0, 'ka': 5.0}",2-5,2-5,2.0,0.20225,1.08325,1,248687.0,10.0,18.0,18.0,18.0,0.1,5.0
255,319,61e05176aa09f84b60e4b245,run1,quiz,False,4.0,,,,4.0,61df8999cc7c1c6984f5f11d,61e0502c337b071611866160,$0.6,60.0,20.0,6.0,6.0,4.0,ko-he,kohe,1.0,0.0,{},1642090863185.0,1642090863185.0,5897.0,5897.0,2.663,3.234,1642090636188.0,1642090869082.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'nu': 1.0, 'he': 2.0, 'sa': 3.0, 'ko': 4.0}",4-2,4-2,2.0,0.8085,3.4715,0,232894.0,,3.0,3.0,3.0,,
268,335,61e05184aa09f84b60e4b267,run1,quiz,False,5.0,,,,5.0,61df8999cc7c1c6984f5f11d,61e0503a92a79e2ccaa7c81c,$1,100.0,34.0,7.0,7.0,5.0,ku-to,kuto,1.0,0.0,{},1642090879110.0,1642090879110.0,3293.0,3293.0,1.25,2.043,1642090626149.0,1642090882403.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ne': 1.0, 'to': 2.0, 'ha': 3.0, 'si': 4.0, 'ku': 5.0}",5-2,5-2,2.0,0.51075,1.76075,1,256254.0,7.0,5.0,5.0,5.0,0.14285714285714285,3.5
