,Unnamed: 0,_id,iterationName,phase,finalCount,GID,workerID,assignmentID,hitID,prolificID,studyID,sessionID,score,totalScore,trial,sectionTrial,num,base,targ,resp,correct,take,distractions,trialStartTime,takeStartTime,trialTime,takeTime,RT,WT,initTime,endTime,gender,age,comments,understood,totalLength,strategy,strategy_other,expt,cond,targetWord,targetNum,responseSide,responseNumber,responseWord,otherNumber,otherWord,missed,syntax,count,duplicate,failedGame,nonsenseGame,failedOutlier,distracted,distractedGame,manualExclude,incomplete,generalized,prim,add,mult,exp,feature_sum,maxrule,lexicon,gloss,targ_gloss,numSyls,normedWT,CT,freq,elapsedTime,delay,ppd,dpp
1432,18468,63cd94cf58c4334a66b057fc,run1,quiz,False,212.0,,,,212.0,63cc988c2a276a3b63c222e6,63cd90c08db3dcffe43fd1bf,$1.31,1.31,59.0,7.0,7.0,5.0,so-ka,soka,1.0,0.0,{},1674417351403.0,1674417351403.0,8873.0,8873.0,6.014,2.859,1674416510532.0,1674417360276.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'hi': 1.0, 'ne': 4.0, 'so': 5.0, 'ka': 2.0, 'tu': 3.0}",5-2,5-2,2.0,0.71475,6.72875,2,849744.0,21.0,0.09523809523809523,7.0
1437,18474,63cd94db58c4334a66b05808,run1,quiz,False,219.0,,,,219.0,63cc988c2a276a3b63c222e6,63cd90c44be8b78b74a7aeb9,$1.41,1.41,47.0,1.0,7.0,5.0,hu-ni,huni,1.0,0.0,{},1674417367028.0,1674417367028.0,2774.0,2774.0,1.671,1.103,1674416980223.0,1674417369802.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'to': 1.0, 'se': 4.0, 'hu': 5.0, 'ka': 3.0, 'ni': 2.0}",5-2,5-2,2.0,0.27575,1.94675,0,389579.0,,,
1443,18482,63cd94f858c4334a66b0581f,run1,quiz,False,219.0,,,,219.0,63cc988c2a276a3b63c222e6,63cd90c44be8b78b74a7aeb9,$1.53,1.53,51.0,5.0,7.0,5.0,hu-ni,huni,1.0,0.0,{},1674417395360.0,1674417395360.0,3294.0,3294.0,2.078,1.216,1674416980223.0,1674417398654.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'to': 1.0, 'se': 4.0, 'hu': 5.0, 'ka': 3.0, 'ni': 2.0}",5-2,5-2,2.0,0.304,2.382,1,418431.0,4.0,0.25,2.0
1446,18486,63cd950458c4334a66b0582a,run1,quiz,True,212.0,,,,212.0,63cc988c2a276a3b63c222e6,63cd90c08db3dcffe43fd1bf,$1.4,1.4,64.0,2.0,7.0,5.0,so-ka,kaso,0.0,0.0,{},1674417404626.0,1674417404626.0,8134.0,8134.0,4.607,3.527,1674416510532.0,1674417412760.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'hi': 1.0, 'ne': 4.0, 'so': 5.0, 'ka': 2.0, 'tu': 3.0}",2-5,5-2,2.0,0.88175,5.4887500000000005,3,902228.0,4.0,0.75,1.0
1447,18487,63cd950458c4334a66b0582b,run1,quiz,False,219.0,,,,219.0,63cc988c2a276a3b63c222e6,63cd90c44be8b78b74a7aeb9,$1.62,1.62,54.0,8.0,10.0,5.0,ni-hu,nihu,1.0,0.0,{},1674417408308.0,1674417408308.0,2686.0,2686.0,1.542,1.144,1674416980223.0,1674417410994.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,0.0,0.0,1.0,0.0,1.0,3.0,"{'to': 1.0, 'se': 4.0, 'hu': 5.0, 'ka': 3.0, 'ni': 2.0}",2-5,2-5,2.0,0.286,1.828,0,430771.0,,,
1448,18489,63cd950958c4334a66b05830,run1,quiz,False,219.0,,,,219.0,63cc988c2a276a3b63c222e6,63cd90c44be8b78b74a7aeb9,$1.65,1.65,55.0,-1.0,7.0,5.0,hu-ni,huni,1.0,0.0,{},1674417411997.0,1674417411997.0,3483.0,3483.0,2.37,1.113,1674416980223.0,1674417415480.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'to': 1.0, 'se': 4.0, 'hu': 5.0, 'ka': 3.0, 'ni': 2.0}",5-2,5-2,2.0,0.27825,2.64825,2,435257.0,4.0,0.5,1.3333333333333333
1455,18497,63cd952258c4334a66b05847,run1,quiz,True,219.0,,,,219.0,63cc988c2a276a3b63c222e6,63cd90c44be8b78b74a7aeb9,$1.86,1.86,62.0,6.0,7.0,5.0,hu-ni,huni,1.0,0.0,{},1674417437081.0,1674417437081.0,3641.0,3641.0,2.532,1.109,1674416980223.0,1674417440722.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'to': 1.0, 'se': 4.0, 'hu': 5.0, 'ka': 3.0, 'ni': 2.0}",5-2,5-2,2.0,0.27725,2.80925,3,460499.0,6.0,0.5,1.5
1484,18943,63cd991f58c4334a66b05b45,run1,quiz,False,220.0,,,,220.0,63cc988c2a276a3b63c222e6,63cd95bcb254cb0c61635f63,$1.02,1.02,34.0,6.0,7.0,5.0,so-he,sohe,1.0,0.0,{},1674418412945.0,1674418412945.0,4937.0,4937.0,1.089,3.848,1674418016155.0,1674418417882.0,,,,,,,,2,no_syntax,,,,,,,,,False,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'he-so': 1.0, 'nu': 2.0, 'so': 3.0, 'so-ti': 4.0, 'ka': 5.0, 'so-nu': 6.0, 'so-he': 7.0, 'ti': 8.0, 'he': 9.0, 'so-ka': 10.0}",7,3-9,2.0,0.962,2.051,0,401727.0,,,
1491,18952,63cd994d58c4334a66b05b4e,run1,quiz,False,220.0,,,,220.0,63cc988c2a276a3b63c222e6,63cd95bcb254cb0c61635f63,$1.26,1.26,42.0,6.0,7.0,5.0,so-he,sohe,1.0,0.0,{},1674418460051.0,1674418460051.0,3888.0,3888.0,0.395,3.493,1674418016155.0,1674418463939.0,,,,,,,,2,no_syntax,,,,,,,,,False,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'he-so': 1.0, 'nu': 2.0, 'so': 3.0, 'so-ti': 4.0, 'ka': 5.0, 'so-nu': 6.0, 'so-he': 7.0, 'ti': 8.0, 'he': 9.0, 'so-ka': 10.0}",7,3-9,2.0,0.87325,1.26825,1,447784.0,7.0,0.14285714285714285,3.5
1499,18962,63cd998158c4334a66b05b58,run1,quiz,False,220.0,,,,220.0,63cc988c2a276a3b63c222e6,63cd95bcb254cb0c61635f63,$1.53,1.53,51.0,6.0,7.0,5.0,so-he,sohe,1.0,0.0,{},1674418510938.0,1674418510938.0,4580.0,4580.0,0.637,3.943,1674418016155.0,1674418515518.0,,,,,,,,2,no_syntax,,,,,,,,,False,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'he-so': 1.0, 'nu': 2.0, 'so': 3.0, 'so-ti': 4.0, 'ka': 5.0, 'so-nu': 6.0, 'so-he': 7.0, 'ti': 8.0, 'he': 9.0, 'so-ka': 10.0}",7,3-9,2.0,0.98575,1.62275,2,499363.0,8.0,0.25,2.6666666666666665
